room_type,bedrooms,number_of_reviews,review_scores_value,price,amenities
Private room,1,1,5,$36.00,"[""Dedicated workspace"", ""Heating"", ""Smoke alarm"", ""Bed linens"", ""Kitchen"", ""Hangers"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,0,,$36.00,"[""Dedicated workspace"", ""Heating"", ""Smoke alarm"", ""Bed linens"", ""Kitchen"", ""Hangers"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,1,3,$36.00,"[""Dedicated workspace"", ""Heating"", ""Smoke alarm"", ""Kitchen"", ""Cooking basics"", ""Hangers"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,0,,$36.00,"[""Dedicated workspace"", ""Smoke alarm"", ""Fire extinguisher"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Washer"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Shared room,1,1,5,$36.00,"[""Essentials"", ""Iron"", ""Bathtub"", ""Dedicated workspace"", ""Refrigerator"", ""Portable heater"", ""Hot water"", ""Security cameras on property"", ""Kitchen"", ""Cooking basics"", ""Hangers"", ""Dove body soap"", ""Wifi"", ""Cleaning products"", ""Dishes and silverware""]"
Private room,1,0,,$36.00,"[""First aid kit"", ""Microwave"", ""Stove"", ""Coffee maker"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Essentials"", ""Oven"", ""Backyard"", ""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Fire extinguisher"", ""Free street parking"", ""Private entrance"", ""Air conditioning"", ""Extra pillows and blankets"", ""Host greets you"", ""Dishes and silverware"", ""Cable TV"", ""Refrigerator"", ""Bed linens"", ""Cooking basics"", ""Hangers"", ""Iron"", ""Kitchen"", ""Wifi""]"
Private room,1,0,,$36.00,"[""Dedicated workspace"", ""Smoke alarm"", ""Fire extinguisher"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Washer"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,0,,$36.00,"[""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,0,,$36.00,"[""First aid kit"", ""Rice maker"", ""Stainless steel stove"", ""Microwave"", ""Head and Shoulders  shampoo"", ""Trash compactor"", ""Laundromat nearby"", ""Bidet"", ""Coffee maker"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Essentials"", ""Hot water kettle"", ""Dedicated workspace"", ""Stainless steel oven"", ""Toaster"", ""Ola body soap"", ""Freezer"", ""Lock on bedroom door"", ""Hot water"", ""Wine glasses"", ""Smoke alarm"", ""Fire extinguisher"", ""Free street parking"", ""Extra pillows and blankets"", ""Host greets you"", ""Cleaning products"", ""Dishes and silverware"", ""Baking sheet"", ""Waterfront"", ""34\"" TV"", ""Dining table"", ""Hair dryer"", ""Ola conditioner"", ""Dishwasher"", ""Single level home"", ""Ceiling fan"", ""Bathtub"", ""Bed linens"", ""Cooking basics"", ""Hangers"", ""Free washer \u2013 In building"", ""Luggage dropoff allowed"", ""Iron"", ""Portable fans"", ""Portable heater"", ""Kitchen"", ""Free dryer \u2013 In building"", ""Wifi"", ""Frigidaire  refrigerator""]"
Private room,1,90,4.63,$37.00,"[""Microwave"", ""Laundromat nearby"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Essentials"", ""Dedicated workspace"", ""Freezer"", ""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Fire extinguisher"", ""Free street parking"", ""Keypad"", ""Air conditioning"", ""Extra pillows and blankets"", ""Dining table"", ""Hair dryer"", ""Refrigerator"", ""Dove soap bar body soap"", ""Bed linens"", ""Hangers"", ""Luggage dropoff allowed"", ""Iron"", ""Wifi"", ""Clothing storage: closet""]"
